Sequence No.,Pattern Date,Revision,Version,Insert Date,Time Stamp,Client Type,Operating System,Kernel,Client Version,Policy Version,Policy Serial,Policy Checksum,IPS Serial NO,IPS Checksum,HI Status,HI Reason,HI Description,Creation Time,Status,Last time status changed,Site Name,Attribute Extension,Full Name,Email,Job Title,Department,Employee Number,Employment Status,Office Phone,Mobile Phone,Home Phone,Auto-Protect On,Infected,Worst Detection,Last Scan Time,Last Virus Time,Accepts Content Update,Antivirus engine On,Download Insight On,SONAR On,Memory Exploit Mitigation On,Tamper Protection On,Intrusion Prevention On,IE Browser Protection On,Firefox Browser Protection On,Early Launch Antimalware On,Major Version,Minor Version,Restart Required,Restart Reason,Computer Name,Computer Domain Name,Current login domain,Last download time,Number Of Processors,Operating System Language,Total disk space,Total memory,Computer description,Service pack,Processor Type,Processor Clock,BIOS version,TPM device installed,IP Address1,IP Address2,IP Address3,IP Address4,Gateway1,Gateway2,Gateway3,Gateway4,MAC Address1,MAC Address2,MAC Address3,MAC Address4,DNS server 1,DNS server 2,WINS server 1,WINS server 2,DHCP server,Hardware Key,Free memory,Free disk space,Time zone offset,Network and Host Exploit Mitigation On,Server Name,Group Name,Domain Name,Current User,IPS Version,Deployment Status,UUID,Endpoint Detection and Response Status,ATP Server,Hardware Serial Number,WSS Traffic Redirection Status,WSS Integration Token Version,,Date
199545,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:25:08,2019-04-08 12:26:44,Symantec Endpoint Protection,Windows 10 Professional Edition,,14.0.3897.1101,14.2.1031,02A2-03/10/2019 00:01:27 451,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2018-05-24 23:35:24,Enabled,2019-04-08 12:26:44,Site UKAV01,,,,,,,,,,,Enabled,No,No detections,2019-04-08 11:30:03,Never,Yes,Enabled,Enabled - Advanced protection,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,14,0,No,,Gold_host,BrandA.com,BrandA.COM,2019-03-15 07:14:43,4,English,120386 MB,8097 MB,,,Intel64 Family 6 Model 60 Stepping 3,1995,DELL   - 1072009 BIOS Date: 03/22/15 21:50:24 Ver: A05.00,None,10.16.21.35,0.0.0.0,0.0.0.0,0.0.0.0,10.16.0.254,0.0.0.0,0.0.0.0,0.0.0.0,98-90-96-d6-43-bc,,,,10.16.20.104,10.16.20.222,0.0.0.0,0.0.0.0,10.16.0.2,DE9BE0E5518D2A61B309D68861D71594,2696 MB,26037 MB,0,Enabled,UKAV01,My Company\CarPool\WFR\CS,CarPool.priv,smith.turnbull,2019-04-05 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,4C4C4544-0031-3710-8030-B5C04F4E3632,Disabled,Unavailable,5170N62,Disabled by Policy,,,2019-04-07
199545,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:25:08,2019-04-08 12:26:44,Symantec Endpoint Protection,Windows 7 Professional Edition,,14.0.3752.1000,14.2.1031,02A2-03/10/2019 00:01:27 451,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2016-05-04 08:46:07,Enabled,2019-04-08 12:26:44,Site UKAV01,,,,,,,,,,,Enabled,No,(Severity 0) Viral,2019-04-08 11:30:03,Never,Yes,Enabled,Enabled - Advanced protection,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Not installed,14,0,No,,AS00333,CarPool.priv,CarPool.PRIV,2019-03-15 14:47:59,4,English,79999 MB,3240 MB,,Service Pack 1,x86 Family 6 Model 42 Stepping 7,3292,DELL   - 6222004 Default System BIOS,None,10.16.33.25,0.0.0.0,0.0.0.0,0.0.0.0,10.16.0.254,0.0.0.0,0.0.0.0,0.0.0.0,d4-be-d9-c8-9f-79,,,,10.16.0.1,10.16.0.2,0.0.0.0,0.0.0.0,10.16.0.2,A7A65E0E890A64E91F59CEBA26EB5A91,1554 MB,34192 MB,0,Enabled,UKAV01,My Company\CarPool\WFR\CS,CarPool.priv,BrandA,2019-04-05 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,4C4C4544-0056-3410-8036-B5C04F42354A,Disabled,Unavailable,5V46B5J,Not installed,,,2019-04-07
197977,2019-01-14,21,2019-01-14 rev. 021,2019-03-25 11:02:18,2019-04-08 12:26:44,Symantec Endpoint Protection,Windows 10 Professional Edition,,14.0.3897.1101,14.2.1031,B46A-03/27/2019 13:55:33 979,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2019-04-08 11:33:53,Enabled,2019-04-08 12:26:44,Site UKAV01,,,,,,,,,,,Enabled,No,(Severity 7) Trackware,2019-04-08 11:34:20,Never,Yes,Enabled,Component is Malfunctioning,Client not reporting status,Client not reporting status,Client not reporting status,Client not reporting status,Client not reporting status,Client not reporting status,Client not reporting status,14,0,No,,AS00342,BrandA.com,BrandA.COM,Never,8,Unknown,0 MB,16248 MB,,,Intel64 Family 6 Model 94 Stepping 3,2808,DELL   - 1072009 1.5.6,None,10.8.149.113,0.0.0.0,0.0.0.0,0.0.0.0,10.8.149.1,0.0.0.0,0.0.0.0,0.0.0.0,48-4d-7e-f0-94-f0,,,,10.8.0.112,10.8.0.113,0.0.0.0,0.0.0.0,10.8.0.112,1E2483E613EF3D850597C8244288445F,7106 MB,374960 MB,0,Enabled,UKAV01,My Company\Default Group,CarPool.priv,anne.ghataaura,,Cannot deploy. Client version is the same or later than the specified package.,,Disabled,Unavailable,C6DKXJ2,Disabled by Policy,,,2019-01-14
199545,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:25:08,2019-04-08 12:26:44,Symantec Endpoint Protection,Windows 10 Professional Edition,,14.0.3897.1101,14.2.1031,DBD8-03/27/2019 13:55:38 997,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2019-01-24 12:46:23,Enabled,2019-04-08 12:26:44,Site UKAV01,,,,,,,,,,,Enabled,No,No detections,2019-04-08 11:30:04,Never,Yes,Enabled,Enabled - Advanced protection,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,14,0,No,,AS04778,BrandA.com,BrandA.COM,2019-03-12 08:35:07,4,English,241127 MB,8072 MB,,,Intel64 Family 6 Model 142 Stepping 9,2904,DELL   - 1072009 1.6.0,None,10.8.150.71,0.0.0.0,0.0.0.0,0.0.0.0,10.8.150.1,0.0.0.0,0.0.0.0,0.0.0.0,e4-b9-7a-e3-05-bc,,,,10.8.0.112,10.8.0.113,0.0.0.0,0.0.0.0,10.8.0.112,4EBC781D1697ECA3B861BD84835E0A58,1254 MB,190520 MB,0,Enabled,UKAV01,My Company\Default Group,CarPool.priv,stefanie.smith,2019-04-05 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,4C4C4544-0051-4710-8046-B2C04F375332,Disabled,Unavailable,2QGF7S2,Disabled by Policy,,,2019-04-07
0,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:14:55,2019-04-08 12:26:44,Symantec Endpoint Protection,Mac OS X 10.14.3,Darwin Kernel Version 18.0.0,14.0.3752.1000,14.2.1031,AE28-03/27/2019 13:55:38 997,,,,Disabled,Check is disabled,,2017-11-03 11:20:46,Enabled,2019-04-08 12:26:44,Site UKAV01,,,,,,,,,,,Enabled,No,No detections,2019-04-08 11:40:12,Never,Yes,Enabled,Not installed,Not installed,Not installed,Not installed,Enabled,Not installed,Not installed,Not installed,14,0,No,,AS00764,local,local,Never,1,DBDATA_OS_LANG_0,239072 MB,16384 MB,Darwin Kernel Version 18.0.0,,Intel(R) Core(TM) i5-7267U,3100,,None,10.8.130.118,0.0.0.0,0.0.0.0,0.0.0.0,10.8.130.1,0.0.0.0,0.0.0.0,0.0.0.0,8c-85-90-7a-82-0c,,,,10.8.0.112,10.8.0.113,0.0.0.0,0.0.0.0,10.8.0.112,59871088C45F44E7244A9BC78F0C6EF4,112 MB,25468 MB,-60,Not installed,UKAV01,My Company,CarPool.priv,Chris Brown,2019-04-03 rev. 001,The client is ready to accept the upgrade package,,Disabled,Unavailable,,Not installed,,,2019-04-07
199545,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:25:08,2019-04-08 12:26:44,Symantec Endpoint Protection,Windows 10 Professional Edition,,14.0.3897.1101,14.2.1031,DBD8-03/27/2019 13:55:38 997,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2019-02-08 13:48:42,Enabled,2019-04-08 12:26:44,Site UKAV01,,,,,,,,,,,Enabled,No,No detections,2019-04-08 11:30:01,Never,Yes,Enabled,Enabled - Advanced protection,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,14,0,No,,AS05170,BrandA.com,BrandA.COM,2019-03-05 14:03:31,8,English,475528 MB,16192 MB,,,Intel64 Family 6 Model 142 Stepping 10,1992,DELL   - 1072009 1.5.1,None,10.8.130.119,10.8.131.64,10.0.75.1,192.168.92.209,10.8.149.1,10.8.130.1,0.0.0.0,0.0.0.0,00-24-9b-2e-58-ee,9c-b6-d0-8d-67-db,00-15-5d-01-50-06,02-15-86-52-35-21,10.8.0.112,10.8.0.113,0.0.0.0,0.0.0.0,10.8.0.112,8DF83913A2FCF4C268AF80C9C43A56F2,3934 MB,265735 MB,0,Enabled,UKAV01,My Company\Default Group,CarPool.priv,sean.wayne,2019-04-05 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,4C4C4544-0039-3610-8044-B4C04F564E32,Disabled,Unavailable,496DVN2,Disabled by Policy,,,2019-04-07
0,2019-04-05,2,2019-04-05 rev. 002,2019-04-05 16:08:03,2019-04-08 12:26:41,Symantec Endpoint Protection,Mac OS X 10.14.3,Darwin Kernel Version 18.2.0,14.0.3752.1000,14.2.1031,DBD8-03/27/2019 13:55:38 997,,,,Disabled,Check is disabled,,2019-01-17 16:33:38,Enabled,2019-04-08 12:26:41,Site UKAV01,,,,,,,,,,,Enabled,No,No detections,2019-03-27 15:32:46,Never,Yes,Enabled,Not installed,Not installed,Not installed,Not installed,Enabled,Not installed,Not installed,Not installed,14,0,No,,AS05244,local,local,Never,1,DBDATA_OS_LANG_0,237464 MB,16384 MB,Darwin Kernel Version 18.2.0,,Intel(R) Core(TM) i7-8559U,2700,,None,10.8.130.120,10.8.149.86,0.0.0.0,0.0.0.0,10.8.130.1,10.8.149.1,0.0.0.0,0.0.0.0,f0-18-98-6a-3d-7d,00-24-9b-2e-58-f3,,,10.8.0.112,10.8.0.113,0.0.0.0,0.0.0.0,10.8.0.112,74BEE5D568AB818921FDEB71DA332E86,271 MB,160429 MB,-60,Not installed,UKAV01,My Company\Default Group,CarPool.priv,Jones Smith,2019-04-03 rev. 001,No Status Reported.,,No status reported,Unavailable,,Not installed,,,2019-04-05
199488,2019-04-05,2,2019-04-05 rev. 002,2019-04-05 16:16:58,2019-04-08 12:26:41,Symantec Endpoint Protection,Windows 7 Professional Edition,,14.0.3897.1101,14.2.1031,48E6-03/10/2019 00:01:27 451,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2015-12-15 20:43:12,Enabled,2019-04-08 12:26:41,Site UKAV01,,,,,,,,,,,Enabled,No,(Severity 4) Other,2019-04-08 12:23:45,Never,Yes,Enabled,Component is Malfunctioning - Advanced protection,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Not installed,14,0,No,,AS02400,CarPool.priv,CarPool.PRIV,2019-03-06 13:15:48,4,English,121602 MB,8097 MB,,Service Pack 1,Intel64 Family 6 Model 60 Stepping 3,1995,DELL   - 1072009 BIOS Date: 03/22/15 21:50:24 Ver: A05.00,None,10.8.130.121,169.254.103.125,0.0.0.0,0.0.0.0,10.16.0.254,10.16.0.254,0.0.0.0,0.0.0.0,98-90-96-d5-12-87,98-90-96-d5-12-87,,,10.16.0.1,10.16.0.2,0.0.0.0,0.0.0.0,10.16.0.2,8548E40CC40D5B46A5CBEB229E56FF2B,3778 MB,48591 MB,0,Enabled,UKAV01,My Company\CarPool\WFR\WFR office,CarPool.priv,Wayne.Moggy,2019-04-04 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,4C4C4544-005A-4710-8053-B7C04F473632,Disabled,Unavailable,7ZGSG62,Disabled by Policy,,,2019-04-05
199545,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:25:08,2019-04-08 12:26:24,Symantec Endpoint Protection,Windows 10 Professional Edition,,14.0.3897.1101,14.2.1031,DBD8-03/27/2019 13:55:38 997,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2018-11-02 17:43:26,Enabled,2019-04-08 12:26:24,Site UKAV01,,,,,,,,,,,Enabled,No,(Severity 4) Other,2019-04-08 12:22:02,Never,Yes,Enabled,Enabled - Advanced protection,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,14,0,No,,AS03658,BrandA.com,BrandA.COM,2019-02-06 12:32:57,4,English,241127 MB,8075 MB,,,Intel64 Family 6 Model 78 Stepping 3,2808,DELL   - 1072009 1.5.3,None,10.8.131.32,0.0.0.0,0.0.0.0,0.0.0.0,10.8.130.1,0.0.0.0,0.0.0.0,0.0.0.0,e4-a4-71-d6-08-12,,,,10.8.0.112,10.8.0.113,0.0.0.0,0.0.0.0,10.8.0.112,E8E8D95A890B8C722C87B6F24765D9A1,1879 MB,184560 MB,0,Enabled,UKAV01,My Company\Default Group,CarPool.priv,james.Moon,2019-04-05 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,4C4C4544-0052-3210-8046-C2C04F4D4332,Disabled,Unavailable,BR2FMC2,Disabled by Policy,,,2019-04-07
199545,2019-04-07,20,2019-04-07 rev. 020,2019-04-08 07:25:08,2019-04-08 12:26:24,Symantec Endpoint Protection,Windows Server 2012 R2 Standard Edition,,14.0.3897.1101,14.2.1031,9CD8-03/10/2019 00:01:27 451,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,2017-05-21 23:26:01,Enabled,2019-04-08 12:26:24,Site UKAV01,,,,,,,,,,,Enabled,No,(Severity 7) Trackware,2019-04-08 11:30:03,Never,Yes,Enabled,Enabled - Advanced protection,Not installed,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,14,0,No,,UKAV01,CarPool.priv,CarPool.PRIV,2019-03-13 17:06:10,8,English,102399 MB,12287 MB,,,Intel64 Family 6 Model 79 Stepping 1,2197,INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0,None,10.16.10.56,0.0.0.0,0.0.0.0,0.0.0.0,10.16.0.254,0.0.0.0,0.0.0.0,0.0.0.0,00-50-56-9e-25-3e,,,,10.16.0.1,10.16.0.2,0.0.0.0,0.0.0.0,0.0.0.0,C4E13C2436E07A824867584C7065C8FA,5861 MB,31104 MB,0,Enabled,UKAV01,My Company\Servers,CarPool.priv,adam.jones,2019-04-05 rev. 061,Cannot deploy. Client version is the same or later than the specified package.,F3D91E42-41E4-BDEE-4230-B235C2681018,Disabled,Unavailable,VMware-42 1e d9 f3 e4 41 ee bd-42 30 b2 35 c2 68 10 18,Disabled by Policy,,,2019-04-07
